,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Torresdale North ,40.0897,-74.9781,All Star Pizza,40.0893315,-74.9768423,Pizza Place
1,Cedarbrook  ,40.0726,-75.1706,City Wings & Pizza,40.06998714987832,-75.16978729173687,Wings Joint
2,Cedarbrook  ,40.0726,-75.1706,Benjamin L Johnston Memorial Stadium,40.070325900112074,-75.17286103705759,Athletics & Sports
3,Cedarbrook  ,40.0726,-75.1706,Carribbean Island,40.07390580718552,-75.16684767059985,Caribbean Restaurant
4,Cedarbrook  ,40.0726,-75.1706,Silver Star Kitchen,40.074023,-75.166706,Chinese Restaurant
5,Cedarbrook  ,40.0726,-75.1706,Olympia Sports,40.072524813578525,-75.16537136817098,Shoe Store
6,Bridesburg  ,40.0008,-75.0727,Renzi's Pizzeria,39.99818399557578,-75.07431161401095,Pizza Place
7,Bridesburg  ,40.0008,-75.0727,Robeks Fresh Juices & Smoothies,40.001532,-75.07597700000001,Food Truck
8,Bridesburg  ,40.0008,-75.0727,Edgemont Caterers,39.998726,-75.074137,Food & Drink Shop
9,Bridesburg  ,40.0008,-75.0727,Wawa,39.996568,-75.074419,Convenience Store
10,Bridesburg  ,40.0008,-75.0727,Rite Aid,39.9974096,-75.0740282,Pharmacy
11,Bridesburg  ,40.0008,-75.0727,Bridesburg Rec Center Gym,40.00000089955917,-75.06854675129031,Gym / Fitness Center
12,Bridesburg  ,40.0008,-75.0727,Ozzie's Corner Tavern,40.00007345318378,-75.07228948395604,Bar
13,Bridesburg  ,40.0008,-75.0727,Fran Lee Caterers,40.002612,-75.071547,American Restaurant
14,Bridesburg  ,40.0008,-75.0727,Bridesburg Bait & Tackle,39.999633,-75.07584399999999,Sporting Goods Shop
15,Bridesburg  ,40.0008,-75.0727,Robert Lachowicz Quality Foods,40.000043,-75.076217,Convenience Store
16,Bridesburg  ,40.0008,-75.0727,Mom-Mom's Polish Food,40.001263,-75.07649,Restaurant
17,Bridesburg  ,40.0008,-75.0727,The Coffee Shop,39.999741971709454,-75.06906509399414,Coffee Shop
18,Bridesburg  ,40.0008,-75.0727,Bridgeview  Cafe,39.99969,-75.06903,Café
19,Bridesburg  ,40.0008,-75.0727,Old English Pizza,39.99739083997727,-75.07349357714222,Pizza Place
20,Bridesburg  ,40.0008,-75.0727,SEPTA Route J,39.99740306851146,-75.07372808523506,Bus Station
21,Bridesburg  ,40.0008,-75.0727,Bridesburg Park,39.9997460391132,-75.06773376326954,Baseball Field
