,CODE,CODE Latitude,CODE Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,M9R,43.6898,-79.5582,Gourmet Express,43.69311138097989,-79.55729392261416,Chinese Restaurant
1,M9R,43.6898,-79.5582,Subway,43.692935717786156,-79.5573509193731,Sandwich Place
2,M9R,43.6898,-79.5582,The Beer Store,43.6933138,-79.5572835,Beer Store
3,M9R,43.6898,-79.5582,Shoppers Drug Mart,43.693411,-79.557073,Pharmacy
4,M9R,43.6898,-79.5582,Petro-Canada,43.694109,-79.558046,Gas Station
5,M9R,43.6898,-79.5582,TD Canada Trust,43.6939219,-79.5574106,Bank
6,M9R,43.6898,-79.5582,Pizza Pizza,43.69321312231725,-79.55729000271057,Pizza Place
7,M9R,43.6898,-79.5582,Food Basics,43.693738309210296,-79.55710530286524,Supermarket
8,M9R,43.6898,-79.5582,TTC Bus 45 Kipling,43.69090730623053,-79.55706596374512,Bus Line
9,M9R,43.6898,-79.5582,Martingrove Fish and Chips,43.690537,-79.561878,American Restaurant
10,M9R,43.6898,-79.5582,Rogers,43.69262,-79.557402,Mobile Phone Shop
11,M9V,43.7432,-79.5876,Subway,43.74264512142215,-79.58964323010724,Sandwich Place
12,M9V,43.7432,-79.5876,Shoppers Drug Mart,43.741685,-79.584487,Pharmacy
13,M9V,43.7432,-79.5876,The Beer Store,43.7416936,-79.5843728,Beer Store
14,M9V,43.7432,-79.5876,Popeyes Louisiana Kitchen,43.74120165509377,-79.58454469276013,Fried Chicken Joint
15,M9V,43.7432,-79.5876,Sheriff's No Frills,43.741696,-79.584379,Grocery Store
16,M9V,43.7432,-79.5876,Pizza Pizza,43.74156896801906,-79.58448886871338,Pizza Place
17,M9V,43.7432,-79.5876,Sunny Foodmart,43.74184023292111,-79.59056069637506,Grocery Store
18,M9V,43.7432,-79.5876,McDonald's,43.7417571,-79.5842303,Fast Food Restaurant
19,M9V,43.7432,-79.5876,Canadian Tire,43.74184391350161,-79.5822936889543,Hardware Store
20,M9V,43.7432,-79.5876,Caribbean Heat 2,43.743186018598834,-79.58236738214784,Caribbean Restaurant
21,M9W,43.7144,-79.5909,Tim Hortons,43.71465748224628,-79.59371566772467,Coffee Shop
22,M9W,43.7144,-79.5909,Xawaash,43.71578559593828,-79.59305324759328,Mediterranean Restaurant
23,M9W,43.7144,-79.5909,Enterprise Rent-A-Car,43.71526,-79.58932,Rental Car Location
24,M9W,43.7144,-79.5909,Woodbine Hotel & Suites,43.712624444842106,-79.59266375766718,Hotel
25,M9W,43.7144,-79.5909,Swiss Pick,43.716149756618115,-79.59384319385052,Swiss Restaurant
26,M9W,43.7144,-79.5909,Comfort Hotel,43.71605815847199,-79.59413543343544,Hotel
27,M1P,43.7612,-79.2707,Calabria Bakery,43.7616699583205,-79.26950674263456,Bakery
28,M1P,43.7612,-79.2707,Magnotta,43.761333,-79.269139,Wine Shop
29,M1P,43.7612,-79.2707,Euphoria Wedding Designs,43.7644409,-79.27213460000002,Event Service
30,M1P,43.7612,-79.2707,Roll N Bowl Korean & Japanese Cuisine,43.764656,-79.27101,Asian Restaurant
31,M1R,43.7507,-79.3003,Scarborough Garage Door Repair,43.75128820404063,-79.30150777101517,Auto Garage
32,M2N,43.7673,-79.4111,Konjiki Ramen,43.76699771023422,-79.41222209328754,Ramen Restaurant
33,M2N,43.7673,-79.4111,The Keg,43.7665789176648,-79.41213141222555,Steakhouse
34,M2N,43.7673,-79.4111,Toronto Centre for the Arts,43.766228257307354,-79.41411495208739,Theater
35,M2N,43.7673,-79.4111,Loblaws,43.768722,-79.412101,Grocery Store
36,M2N,43.7673,-79.4111,Cineplex Cinemas,43.76862539839479,-79.41261307104753,Movie Theater
37,M2N,43.7673,-79.4111,Saryo,43.76697902009232,-79.41220491675689,Café
38,M2N,43.7673,-79.4111,Starbucks,43.768353,-79.413046,Coffee Shop
39,M2N,43.7673,-79.4111,MYMY Chicken,43.76465797243293,-79.41109575340602,Fried Chicken Joint
40,M2N,43.7673,-79.4111,Aroma Espresso Bar,43.76944882099181,-79.41308107735675,Café
41,M2N,43.7673,-79.4111,Dairy Queen,43.76701557770687,-79.4120009150447,Ice Cream Shop
42,M2N,43.7673,-79.4111,Sushi Moto Sake & Wine Bar,43.764095,-79.411344,Sushi Restaurant
