,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6898,-79.5582,Gourmet Express,43.69311138097989,-79.55729392261416,Chinese Restaurant
1,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6898,-79.5582,Fitness 365,43.6984228592084,-79.56421141496305,Gym
2,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6898,-79.5582,401 Diner,43.700939740345575,-79.56244301714327,Breakfast Spot
3,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6898,-79.5582,Subway,43.692935717786156,-79.5573509193731,Sandwich Place
4,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6898,-79.5582,Sushi Ya,43.69036290634127,-79.57596413416118,Sushi Restaurant
5,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6898,-79.5582,The Beer Store,43.6933138,-79.5572835,Beer Store
6,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6898,-79.5582,Shoppers Drug Mart,43.693411,-79.557073,Pharmacy
7,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6898,-79.5582,Petro-Canada,43.694109,-79.558046,Gas Station
8,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6898,-79.5582,TD Canada Trust,43.6939219,-79.5574106,Bank
9,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6898,-79.5582,St. Louis Bar and Grill,43.69038671863474,-79.57164113880816,Wings Joint
10,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6898,-79.5582,Pizza Pizza,43.69321312231725,-79.55729000271057,Pizza Place
11,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6898,-79.5582,Mr. Kiwi Rice and Noodle Bar,43.69028519543438,-79.57609517169719,Thai Restaurant
12,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6898,-79.5582,Milestones,43.690917948191455,-79.57632894329697,Restaurant
13,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6898,-79.5582,Food Basics,43.693738309210296,-79.55710530286524,Supermarket
14,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6898,-79.5582,TD Canada Trust,43.6794111,-79.5469618,Bank
15,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6898,-79.5582,401 Mini Indy,43.68728746414796,-79.57264978984446,Racetrack
16,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6898,-79.5582,Tim Hortons / Esso,43.696702618514394,-79.5462269790005,Restaurant
